2026/06/04 13:38:03 Listening on :8080
gc 1 @8.326s 0%: 0.046+0.51+0.037 ms clock, 0.18+0.69/0.39/0+0.15 ms cpu, 4->4->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 2 @8.344s 0%: 0.030+0.44+0.023 ms clock, 0.12+0.65/0.39/0+0.095 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 3 @8.347s 0%: 0.037+0.63+0.014 ms clock, 0.15+0.91/0.56/0+0.057 ms cpu, 3->3->2 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 4 @8.355s 0%: 0.028+0.56+0.013 ms clock, 0.11+0.91/0.53/0+0.053 ms cpu, 5->5->3 MB, 6 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 5 @8.367s 0%: 0.073+0.88+0.014 ms clock, 0.29+1.2/0.71/0+0.056 ms cpu, 7->7->4 MB, 8 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 6 @8.381s 0%: 0.23+0.82+0.016 ms clock, 0.93+1.3/0.77/0+0.065 ms cpu, 8->8->4 MB, 9 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 7 @8.395s 0%: 0.068+0.91+0.012 ms clock, 0.27+1.4/0.86/0+0.050 ms cpu, 8->8->4 MB, 9 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 8 @8.409s 0%: 0.062+0.79+0.014 ms clock, 0.24+1.1/0.73/0+0.057 ms cpu, 8->8->4 MB, 9 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 9 @8.424s 0%: 0.021+0.97+0.016 ms clock, 0.085+1.5/0.90/0+0.064 ms cpu, 8->8->4 MB, 9 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 10 @8.438s 0%: 0.074+0.83+0.017 ms clock, 0.29+1.2/0.77/0+0.069 ms cpu, 8->8->4 MB, 9 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 11 @8.453s 0%: 0.11+0.94+0.024 ms clock, 0.47+0.93/0.87/0+0.099 ms cpu, 8->8->4 MB, 9 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 12 @8.468s 0%: 0.17+0.82+0.019 ms clock, 0.69+1.3/0.78/0+0.079 ms cpu, 8->8->4 MB, 9 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 13 @8.483s 0%: 0.064+0.88+0.015 ms clock, 0.25+1.4/0.83/0+0.060 ms cpu, 9->9->4 MB, 9 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 14 @8.499s 0%: 0.071+0.79+0.003 ms clock, 0.28+1.2/0.74/0+0.013 ms cpu, 9->9->4 MB, 9 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 15 @8.513s 0%: 0.049+0.85+0.003 ms clock, 0.19+1.2/0.80/0+0.012 ms cpu, 8->8->4 MB, 9 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 16 @8.527s 0%: 0.056+0.92+0.017 ms clock, 0.22+1.5/0.87/0+0.070 ms cpu, 8->8->4 MB, 9 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 17 @8.541s 0%: 0.067+0.73+0.015 ms clock, 0.26+1.2/0.70/0+0.061 ms cpu, 8->8->4 MB, 9 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 18 @8.556s 0%: 0.079+0.79+0.004 ms clock, 0.31+1.3/0.75/0+0.016 ms cpu, 8->8->4 MB, 9 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 19 @8.571s 0%: 0.073+0.72+0.016 ms clock, 0.29+1.0/0.67/0+0.064 ms cpu, 8->8->4 MB, 9 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 20 @8.585s 0%: 0.094+0.79+0.015 ms clock, 0.37+1.1/0.75/0+0.063 ms cpu, 8->8->4 MB, 9 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 21 @8.600s 0%: 0.081+0.84+0.020 ms clock, 0.32+1.1/0.78/0+0.080 ms cpu, 8->8->4 MB, 9 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 22 @8.614s 0%: 0.16+0.75+0.015 ms clock, 0.67+1.1/0.72/0+0.060 ms cpu, 8->9->4 MB, 9 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 23 @8.629s 0%: 0.060+0.75+0.011 ms clock, 0.24+1.2/0.71/0+0.045 ms cpu, 8->9->4 MB, 9 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 24 @8.644s 0%: 0.13+0.81+0.016 ms clock, 0.52+1.1/0.77/0+0.065 ms cpu, 8->9->4 MB, 9 MB goal, 0 MB stacks, 0 MB globals, 4 P
