2026/06/04 13:46:31 Listening on :8080
gc 1 @4.567s 0%: 0.055+0.78+0.015 ms clock, 1.3+0.54/1.3/0+0.36 ms cpu, 4->4->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 24 P
gc 2 @4.568s 0%: 0.13+0.75+0.031 ms clock, 3.3+1.1/1.8/0+0.74 ms cpu, 3->4->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 24 P
gc 3 @4.570s 0%: 0.37+0.50+0.008 ms clock, 8.9+0.45/1.1/0+0.21 ms cpu, 3->4->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 24 P
gc 4 @4.572s 0%: 0.18+0.98+0.008 ms clock, 4.4+0.68/2.2/0+0.20 ms cpu, 3->4->2 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 24 P
gc 5 @4.574s 0%: 0.22+1.6+0.017 ms clock, 5.3+1.0/2.3/0+0.41 ms cpu, 3->4->2 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 24 P
gc 6 @4.577s 0%: 1.1+1.2+0.012 ms clock, 27+1.2/3.1/0+0.31 ms cpu, 4->5->2 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 24 P
gc 7 @4.581s 0%: 0.33+1.2+0.024 ms clock, 7.9+1.7/3.1/0+0.58 ms cpu, 5->5->3 MB, 6 MB goal, 0 MB stacks, 0 MB globals, 24 P
gc 8 @4.595s 0%: 0.060+0.71+0.023 ms clock, 1.4+0.22/2.2/0.11+0.57 ms cpu, 6->6->3 MB, 7 MB goal, 0 MB stacks, 0 MB globals, 24 P
gc 9 @4.605s 0%: 0.099+1.5+0.080 ms clock, 2.3+2.0/2.5/0+1.9 ms cpu, 6->7->4 MB, 8 MB goal, 0 MB stacks, 0 MB globals, 24 P
gc 10 @4.610s 0%: 1.3+0.41+0.023 ms clock, 32+2.1/6.6/0+0.56 ms cpu, 8->8->4 MB, 9 MB goal, 0 MB stacks, 0 MB globals, 24 P
gc 11 @4.618s 0%: 0.14+1.5+0.022 ms clock, 3.4+4.9/3.8/0.011+0.55 ms cpu, 9->10->4 MB, 11 MB goal, 0 MB stacks, 0 MB globals, 24 P
gc 12 @4.626s 0%: 1.0+1.2+0.055 ms clock, 25+0.25/3.5/0+1.3 ms cpu, 9->10->4 MB, 10 MB goal, 0 MB stacks, 0 MB globals, 24 P
gc 13 @4.636s 0%: 0.76+0.74+0.027 ms clock, 18+1.9/4.0/0+0.64 ms cpu, 9->10->5 MB, 10 MB goal, 0 MB stacks, 0 MB globals, 24 P
gc 14 @4.647s 0%: 0.10+0.86+0.011 ms clock, 2.6+1.0/2.8/0+0.26 ms cpu, 9->10->4 MB, 11 MB goal, 0 MB stacks, 0 MB globals, 24 P
gc 15 @4.654s 0%: 0.13+2.0+0.041 ms clock, 3.3+0.32/1.9/0+0.99 ms cpu, 9->9->4 MB, 10 MB goal, 0 MB stacks, 0 MB globals, 24 P
gc 16 @4.662s 0%: 1.0+1.1+0.019 ms clock, 26+3.0/6.3/0+0.46 ms cpu, 9->10->5 MB, 10 MB goal, 0 MB stacks, 0 MB globals, 24 P
gc 17 @4.672s 0%: 0.090+1.5+0.017 ms clock, 2.1+5.0/4.9/0+0.42 ms cpu, 10->10->4 MB, 11 MB goal, 0 MB stacks, 0 MB globals, 24 P
gc 18 @4.681s 0%: 1.0+1.0+0.078 ms clock, 25+3.1/2.7/0+1.8 ms cpu, 9->10->4 MB, 11 MB goal, 0 MB stacks, 0 MB globals, 24 P
gc 19 @4.689s 0%: 0.76+0.10+0.006 ms clock, 18+1.0/2.5/0+0.15 ms cpu, 9->9->4 MB, 10 MB goal, 0 MB stacks, 0 MB globals, 24 P
gc 20 @4.698s 0%: 0.55+1.2+0.014 ms clock, 13+2.0/3.0/0+0.34 ms cpu, 9->9->4 MB, 10 MB goal, 0 MB stacks, 0 MB globals, 24 P
gc 21 @4.705s 0%: 0.55+0.11+0.013 ms clock, 13+1.2/2.5/0.009+0.33 ms cpu, 9->10->4 MB, 11 MB goal, 0 MB stacks, 0 MB globals, 24 P
gc 22 @4.714s 0%: 1.2+1.1+0.013 ms clock, 30+0.93/3.7/0+0.33 ms cpu, 9->10->4 MB, 10 MB goal, 0 MB stacks, 0 MB globals, 24 P
gc 23 @4.725s 0%: 0.14+1.1+0.053 ms clock, 3.3+1.8/3.0/0+1.2 ms cpu, 10->10->4 MB, 10 MB goal, 0 MB stacks, 0 MB globals, 24 P
gc 24 @4.734s 0%: 1.8+0.64+0.030 ms clock, 43+0.62/4.6/0+0.73 ms cpu, 10->11->5 MB, 10 MB goal, 0 MB stacks, 0 MB globals, 24 P
gc 25 @4.744s 0%: 0.46+1.1+0.016 ms clock, 11+4.2/3.5/0+0.38 ms cpu, 10->10->4 MB, 11 MB goal, 0 MB stacks, 0 MB globals, 24 P
gc 26 @4.753s 0%: 0.14+1.2+0.025 ms clock, 3.3+1.6/3.2/0+0.60 ms cpu, 10->10->5 MB, 11 MB goal, 0 MB stacks, 0 MB globals, 24 P
gc 27 @4.761s 0%: 0.097+1.0+0.062 ms clock, 2.3+2.1/3.3/0.001+1.5 ms cpu, 10->10->4 MB, 11 MB goal, 0 MB stacks, 0 MB globals, 24 P
gc 28 @4.769s 0%: 0.074+1.9+0.015 ms clock, 1.7+1.8/5.5/0+0.38 ms cpu, 10->11->5 MB, 10 MB goal, 0 MB stacks, 0 MB globals, 24 P
gc 29 @4.779s 0%: 0.87+0.43+0.14 ms clock, 20+3.2/3.1/0+3.4 ms cpu, 10->11->4 MB, 12 MB goal, 0 MB stacks, 0 MB globals, 24 P
gc 30 @4.787s 0%: 0.50+1.1+0.060 ms clock, 12+1.3/2.4/0+1.4 ms cpu, 10->10->4 MB, 11 MB goal, 0 MB stacks, 0 MB globals, 24 P
gc 31 @4.795s 0%: 0.054+1.0+0.009 ms clock, 1.3+0.11/2.0/0+0.22 ms cpu, 10->10->4 MB, 11 MB goal, 0 MB stacks, 0 MB globals, 24 P
gc 32 @4.804s 0%: 0.34+1.3+0.047 ms clock, 8.3+0.45/3.0/0+1.1 ms cpu, 9->9->4 MB, 10 MB goal, 0 MB stacks, 0 MB globals, 24 P
gc 33 @4.811s 0%: 1.4+1.0+0.040 ms clock, 34+1.3/5.0/0+0.98 ms cpu, 9->10->5 MB, 10 MB goal, 0 MB stacks, 0 MB globals, 24 P
gc 34 @4.824s 0%: 1.1+1.0+0.028 ms clock, 27+2.9/4.2/0+0.67 ms cpu, 11->11->5 MB, 11 MB goal, 0 MB stacks, 0 MB globals, 24 P
gc 35 @4.833s 0%: 0.46+0.51+0.006 ms clock, 11+0.83/3.3/0+0.16 ms cpu, 10->10->4 MB, 11 MB goal, 0 MB stacks, 0 MB globals, 24 P
gc 36 @4.842s 0%: 0.49+2.1+0.032 ms clock, 11+2.2/7.9/0+0.78 ms cpu, 10->10->5 MB, 10 MB goal, 0 MB stacks, 0 MB globals, 24 P
